District,Dem2018,Rep2018,state,party,voteshare,TRUMP.SCORE,Inc_fname,Inc_lname,inc_year_elected,inc_birth,inc_gender,inc_race,inc_religion,inc_lgbtq,inc_2016status,Clinton_2016,Trump_2016,Obama_2012,Romney_2012,Obama_2008,McCain_2008,HouseD_2016,HouseR_2016,HouseR_2014,HouseR_2012,White,Black,Latino,Asian,Native,Other,BA,BA_WHite,Med_Income,Inc_F,Rep.forecast
CA-43,76.4,23.6,CA,D,78.97,9.8,Maxine,Waters,1990,1938,Woman,Black - African-American,Christian - Protestant,No,Re-elected,78.4,16.7,78.0,20.0,75.2,21.8,76.1,23.9,29.0,0.0,20.6,28.7,33.9,13.8,0.2,2.8,26.5,46.2,54614,1,21.03
CA-45,50.1,49.9,CA,R,48.94,98.9,Mimi,Walters,2014,1962,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,49.8,44.4,43.0,54.8,46.3,50.6,41.4,58.6,65.1,58.5,60.9,1.9,14.2,20.4,0.2,2.5,56.0,56.5,97356,1,48.94
CA-46,66.2,33.8,CA,D,72.88,36.6,Lou,Correa,2016,1958,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Open - Ran for Senate and lost,66.3,27.9,61.4,36.2,57.8,38.6,100.0,0.0,40.3,36.1,31.6,2.2,47.8,16.8,0.2,1.3,18.7,31.0,61304,0,27.12
CA-47,63.5,36.5,CA,D,68.25,15.4,Alan,Lowenthal,2012,1941,Man,White - Non-Hispanic,Jewish,No,Re-elected,62.6,31.0,60.0,37.5,57.9,38.6,63.7,36.3,44.0,43.4,41.5,8.3,24.7,22.5,0.4,2.6,32.0,43.2,65450,0,31.75
CA-48,52.3,47.7,CA,R,49.45,83.7,Dana,Rohrabacher,1988,1947,Man,White - Non-Hispanic,Christian - Baptist,No,Re-elected,47.9,46.2,43.0,54.7,45.9,50.8,41.7,58.3,64.1,61.0,64.1,1.3,14.3,18.0,0.3,2.1,44.6,52.2,88903,0,49.45
CA-50,47.0,53.0,CA,R,52.16,94.5,Duncan,Hunter,2008,1976,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,39.6,54.6,37.6,60.4,39.1,58.0,36.5,63.5,71.2,67.7,67.3,2.9,20.8,5.7,0.8,2.5,28.2,33.5,71692,0,52.16
CA-51,68.9,31.1,CA,D,74.25,14.3,Juan,Vargas,2012,1961,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Re-elected,71.8,22.8,69.4,28.9,65.0,31.7,72.8,27.2,31.2,28.5,20.7,8.5,59.3,9.4,0.5,1.5,14.1,26.6,46639,0,25.75
CA-52,62.8,37.2,CA,D,64.89,34.1,Scott,Peters,2012,1958,Man,White - Non-Hispanic,Christian - Lutheran,No,Re-elected,58.1,35.6,52.1,45.7,54.6,42.5,56.5,43.5,48.4,48.8,66.0,3.2,11.9,15.9,0.3,2.7,57.4,61.2,90854,0,35.11
CA-53,67.4,32.6,CA,D,69.21,19.6,Susan,Davis,2000,1944,Woman,White - Non-Hispanic,Jewish,No,Re-elected,64.5,29.6,61.4,36.4,60.7,36.4,67.0,33.0,41.2,38.6,48.9,8.3,26.6,12.9,0.3,3.0,37.8,48.1,69314,1,30.79
CA-7,54.3,45.7,CA,D,58.98,37.6,Ami,Bera,2012,1965,Man,Asian - Indian,Unitarian Universalist,No,Re-elected,52.3,40.9,50.8,46.8,51.4,45.9,51.2,48.8,49.6,48.3,61.6,7.6,13.0,13.7,0.5,3.5,32.9,34.1,68735,0,41.02
CA-9,55.4,44.6,CA,D,64.31,17.8,Jerry,McNerney,2006,1951,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,56.6,38.0,57.8,40.1,56.3,40.8,57.4,42.6,47.6,44.4,45.7,9.7,27.3,13.9,0.4,3.0,19.1,24.4,61454,0,35.69
CO-1,73.8,23.1,CO,D,71.46,11.5,Diana,DeGette,1996,1957,Woman,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,69.0,23.2,69.0,28.8,70.9,27.6,67.9,27.7,29.0,28.2,68.9,8.2,18.0,2.5,0.6,1.9,47.6,60.5,62718,1,28.54
CO-3,43.5,51.6,CO,R,50.93,95.6,Scott,Tipton,2010,1956,Man,White - Non-Hispanic,Christian - Episcopalian,No,Re-elected,40.0,52.0,45.8,51.8,48.4,49.9,40.3,54.6,58.0,56.5,77.6,0.8,18.3,0.7,1.4,1.2,29.2,34.0,50817,0,50.93
CO-4,39.2,60.8,CO,R,56.67,87.9,Ken,Buck,2014,1959,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,34.3,57.4,39.2,58.5,41.9,56.4,31.7,63.5,64.7,61.4,80.1,1.3,15.5,1.3,0.6,1.3,34.9,39.4,67878,0,56.67
CO-5,39.2,57.2,CO,R,56.14,93.5,Doug,Lamborn,2006,1954,Man,White - Non-Hispanic,Christian - Protestant,No,Re-elected,33.2,57.2,38.3,59.1,39.7,58.8,30.9,62.3,59.8,100.0,77.6,5.4,11.6,2.2,0.4,2.8,37.0,40.9,62372,0,56.14
CO-6,54.1,42.9,CO,R,44.39,95.7,Mike,Coffman,2008,1955,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,50.2,41.3,51.6,46.5,53.6,44.9,42.6,50.9,51.9,51.1,72.3,8.5,12.3,4.4,0.4,2.1,41.8,49.4,76451,0,44.39
CO-7,60.4,35.5,CO,D,62.49,27.2,Ed,Perlmutter,2006,1953,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,51.4,39.4,56.1,41.3,57.4,40.7,55.2,39.8,44.9,43.3,74.3,1.4,19.7,2.7,0.5,1.4,32.5,39.2,66063,0,37.51
CT-1,63.9,35.0,CT,D,67.26,25.0,John,Larson,1998,1948,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,59.4,36.3,63.3,35.6,65.8,32.9,64.1,33.8,36.1,28.5,69.9,12.8,13.1,2.7,0.1,1.4,36.8,42.7,70215,0,32.74
CT-2,62.2,35.4,CT,D,64.74,25.3,Joe,Courtney,2006,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,48.7,45.8,55.9,42.6,58.6,40.0,63.2,33.7,35.5,30.1,86.4,3.5,5.9,2.2,0.2,1.8,35.1,36.3,74784,0,35.26
CT-3,64.5,35.5,CT,D,70.47,19.1,Rosa,DeLauro,1990,1943,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,55.9,40.4,62.6,36.3,62.6,36.2,69.0,31.0,32.9,25.3,73.0,12.3,10.5,2.7,0.2,1.3,36.2,39.9,67774,1,29.53
CT-4,61.2,38.8,CT,D,65.26,27.8,Jim,Himes,2008,1966,Man,White - Non-Hispanic,Christian - Presbyterian,No,Re-elected,59.6,36.6,55.1,44.0,59.6,39.7,59.9,40.1,46.3,40.0,71.4,11.5,12.5,3.6,0.1,0.8,48.8,60.7,94862,0,34.74
DE-1,64.5,35.5,DE,D,61.86,25.8,Lisa,Blunt Rochester,2016,1962,Woman,Black - African-American,Christian - Protestant,No,Open - Ran for governor and won,53.4,41.9,58.6,40.0,61.9,36.9,55.5,41.0,36.8,34.2,70.5,20.6,5.1,2.2,0.3,1.3,31.0,33.8,61757,1,38.14
FL-1,32.9,67.1,FL,R,70.32,81.5,Matt,Gaetz,2016,1982,Man,White - Non-Hispanic,Christian - Baptist,No,Open - Retired,28.2,67.5,30.1,68.5,32.0,66.8,30.9,69.1,70.1,71.9,77.5,12.8,4.5,2.1,0.5,2.5,27.9,30.5,53006,0,70.32
FL-11,34.8,65.1,FL,R,65.18,90.8,Daniel,Webster,2010,1949,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,32.5,64.8,39.8,59.2,42.6,56.1,31.6,65.4,64.6,62.0,84.4,6.2,7.3,0.9,0.3,0.9,20.6,21.2,43610,0,65.18
FL-12,39.7,58.1,FL,R,57.64,97.8,Gus,Bilirakis,2006,1963,Man,White - Non-Hispanic,Christian - Orthodox,No,Re-elected,38.8,57.4,45.5,53.0,47.4,51.2,31.4,68.6,65.8,59.4,84.0,3.9,9.0,1.9,0.3,0.9,26.9,26.7,49774,0,57.64
FL-13,57.6,42.4,FL,D,63.09,41.1,Charlie,Crist,2016,1956,Man,White - Non-Hispanic,Christian - Methodist,No,Defeated,49.6,46.4,54.6,43.9,55.5,43.0,51.9,48.1,60.9,42.8,78.1,11.2,6.4,2.8,0.3,1.2,27.8,28.8,48519,0,36.91
FL-16,45.4,54.6,FL,R,53.13,96.6,Vern,Buchanan,2006,1951,Man,White - Non-Hispanic,Christian - Southern Baptist,No,Re-elected,43.0,53.7,45.1,53.7,47.7,51.2,40.2,59.8,66.5,59.1,80.3,7.6,9.4,1.6,0.2,0.9,30.7,33.2,55447,0,53.13
FL-18,45.7,54.3,FL,R,53.96,93.5,Brian,Mast,2016,1980,Man,Hispanic - Mexican,Christian - Protestant,No,Open - Ran for Senate and lost,44.1,53.3,47.7,51.4,51.2,47.9,43.1,53.6,100.0,55.2,76.8,10.7,10.0,1.6,0.2,0.8,30.5,33.6,54913,0,53.96
FL-19,37.7,62.3,FL,R,58.55,96.7,Francis,Rooney,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,37.5,59.6,38.7,60.5,42.3,56.8,34.1,65.9,54.8,63.4,81.6,5.7,10.7,1.2,0.2,0.7,32.3,37.1,54812,0,58.55
FL-2,32.5,67.5,FL,R,66.46,98.9,Neal,Dunn,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired/Redistricted,30.6,66.2,34.0,64.6,35.2,63.4,29.9,67.3,0.0,71.2,79.9,12.8,4.3,1.2,0.4,1.3,23.4,24.3,46062,0,66.46
FL-22,62.0,38.0,FL,D,65.16,19.1,Ted,Deutch,2010 Special,1966,Man,White - Non-Hispanic,Jewish,No,Re-elected,56.8,41.0,56.3,43.0,58.3,41.0,58.9,41.1,100.0,40.0,68.7,11.6,15.8,2.5,0.2,1.2,37.9,43.2,60159,0,34.84
FL-23,58.5,36.0,FL,D,65.0,16.7,Debbie,Wasserman Schultz,2004,1966,Woman,White - Non-Hispanic,Jewish,No,Re-elected,61.9,35.8,61.4,38.0,62.0,37.3,56.7,40.5,40.8,38.4,51.8,12.5,30.8,3.4,0.3,1.1,38.6,39.7,61513,1,35.0
FL-25,39.5,60.5,FL,R,52.24,94.4,Mario,Diaz-Balart,2002,1961,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,47.9,49.7,44.9,54.5,40.6,58.8,37.6,62.4,100.0,68.1,26.5,3.9,68.0,1.0,0.2,0.3,22.7,33.9,46247,0,52.24
FL-26,50.9,49.1,FL,R,49.48,83.0,Carlos,Curbelo,2014,1980,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Re-elected,56.8,40.5,55.4,43.9,51.5,47.9,41.2,53.0,0.0,58.1,22.4,11.7,63.5,1.6,0.1,0.6,27.2,32.8,54453,0,49.48
FL-3,42.4,57.6,FL,R,58.89,91.0,Ted,Yoho,2012,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Re-elected,40.2,56.2,41.9,56.6,44.2,54.6,39.8,56.6,66.0,62.8,73.5,15.0,7.2,2.5,0.3,1.5,25.9,26.5,45970,0,58.89
FL-4,32.3,65.2,FL,R,66.47,98.9,John,Rutherford,2016,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,34.1,62.1,32.8,66.1,34.8,64.2,27.6,70.2,65.4,74.8,80.2,8.8,6.0,3.2,0.2,1.6,39.2,39.8,68229,0,66.47
FL-5,66.8,33.2,FL,D,71.01,36.8,Al,Lawson,2016,1948,Man,Black - African-American,Christian - Episcopalian,No,Open - Lost Primary/Redistricted,61.3,35.9,63.6,35.4,63.2,35.9,64.2,35.8,80.7,34.3,45.6,45.3,5.4,1.9,0.3,1.5,21.4,25.0,40932,0,28.99
FL-7,57.7,42.3,FL,D,55.98,50.0,Stephanie,Murphy,2016,1978,Woman,Asian - Vietnamese,Christian - Protestant,No,Defeated,51.4,44.1,49.4,49.4,51.1,48.0,51.5,48.5,18.6,51.6,65.7,9.6,19.9,3.3,0.1,1.4,37.8,44.3,57146,1,44.02
FL-8,39.5,60.5,FL,R,60.18,91.1,Bill,Posey,2008,1947,Man,White - Non-Hispanic,Christian - Methodist,No,Re-elected,37.7,58.4,42.1,56.6,43.8,54.9,32.5,63.1,51.1,61.1,80.9,8.5,7.4,1.5,0.2,1.4,29.0,30.4,50752,0,60.18
